cod_pais,desc_pais
169,Colombia
004,Afganistan
008,Albania
010,Antartida
012,Argelia
016,Samoa Americana
020,Andorra
024,Angola
028,Antigua Y Barbu
031,Azerbaiyan
032,Argentina
036,Australia
040,Austria
044,Bahamas
048,Bahrein
050,Bangladesh
051,Armenia
052,Barbados
056,Belgica
060,Bermudas
064,Butan
068,Bolivia
070,Bosnia Y Herzeg
072,Botsuana
074,Isla Bouvet
076,Brasil
084,Belice
086,T B Oceano Ind
090,Islas Salomon
092,I Virgenes Brit
096,Brunei
100,Bulgaria
104,Myanmar
108,Burundi
112,Bielorrusia
116,Camboya
120,Camerun
124,Canada
132,Cabo Verde
136,Islas Caiman
140,R Centroafrican
144,Sri Lanka
148,Chad
152,Chile
156,China
158,Taiwan
162,Isla De Navidad
166,Islas Cocos
174,Comoras
175,Mayotte
178,Rep Del Congo
180,R Dca Del Congo
184,Islas Cook
188,Costa Rica
191,Croacia
192,Cuba
196,Chipre
203,Republica Checa
204,Benin
208,Dinamarca
212,Dominica
214,Rep Dominicana
218,Ecuador
222,El Salvador
226,Guinea Ecuatori
231,Etiopia
232,Eritrea
233,Estonia
234,Islas Feroe
238,Islas Malvinas
239,I Georg Y Sandw
242,Fiyi
246,Finlandia
248,Aland
250,Francia
254,Guayana Frances
258,Poline Francesa
260,T Australes Fra
262,Yibuti
266,Gabon
268,Georgia
270,Gambia
275,Palestina
276,Alemania
288,Ghana
292,Gibraltar
296,Kiribati
300,Grecia
304,Groenlandia
308,Granada
312,Guadalupe
316,Guam
320,Guatemala
324,Guinea
328,Guyana
332,Haiti
334,I Heard Y Mcdon
336,Ciudad Vaticano
340,Honduras
344,Hong Kong
348,Hungria
352,Islandia
356,India
360,Indonesia
364,Iran
368,Iraq
372,Irlanda
376,Israel
380,Italia
384,Costa De Marfil
388,Jamaica
392,Japon
398,Kazajistan
400,Jordania
404,Kenia
408,Corea Del Norte
410,Corea Del Sur
414,Kuwait
417,Kirguistan
418,Laos
422,Libano
426,Lesoto
428,Letonia
430,Liberia
434,Libia
438,Liechtenstein
440,Lituania
442,Luxemburgo
446,Macao
450,Madagascar
454,Malawi
458,Malasia
462,Maldivas
466,Mali
470,Malta
474,Martinica
478,Mauritania
480,Mauricio
484,Mexico
492,Monaco
496,Mongolia
498,Moldavia
499,Montenegro
500,Montserrat
504,Marruecos
508,Mozambique
512,Oman
516,Namibia
520,Nauru
524,Nepal
528,Holanda
531,Curazao
533,Aruba
534,San Martin Alem
535,Caribe Holandes
540,Nueva Caledonia
548,Vanuatu
554,Nueva Zelanda
558,Nicaragua
562,Niger
566,Nigeria
570,Niue
574,Norfolk
578,Noruega
580,Islas Marianas
581,Islas Um Ee Uu
583,Micronesia
584,Islas Marshall
585,Palaos
586,Pakistan
591,Panama
598,Papua Nueva Gui
600,Paraguay
604,Peru
608,Filipinas
612,Islas Pitcairn
616,Polonia
620,Portugal
624,Guinea Bissau
626,Timor Oriental
630,Puerto Rico
634,Qatar
638,Reunion
642,Rumania
643,Rusia
646,Ruanda
652,San Bartolome
654,Santa Helena
659,S Cristobal Y N
660,Anguila
662,Santa Lucia
663,San Martin Fran
666,S Pedro Y Mique
670,S Vicente Y Gra
674,San Marino
678,Sto Tome Y Prin
682,Arabia Saudita
686,Senegal
688,Serbia
690,Seychelles
694,Sierra Leona
702,Singapur
703,Eslovaquia
704,Vietnam
705,Eslovenia
706,Somalia
710,Sudafrica
716,Zimbabue
724,EspaÑa
728,Sudan Del Sur
729,Sudan
732,Sahara Occident
740,Surinam
744,Svalbard Y J M
748,Suazilandia
752,Suecia
756,Suiza
760,Siria
762,Tayikistan
764,Tailandia
768,Togo
772,Tokelau
776,Tonga
780,Trinidad Y Toba
784,Emir Arabes Uni
788,Tunez
792,Turquia
795,Turkmenistan
796,I Turcas Y Caic
798,Tuvalu
800,Uganda
804,Ucrania
807,Macedonia
818,Egipto
826,Reino Unido
831,Guernsey
832,Jersey
833,Isla De Man
834,Tanzania
840,Estados Unidos
850,I Virgenes Eeuu
854,Burkina Faso
858,Uruguay
860,Uzbekistan
862,Venezuela
876,Wallis Y Futuna
882,Samoa
887,Yemen
894,Zambia
